ni,no,ncase
2,1,56
case_no,Extraction_Time,Temp,Visc_tor
1,0,60,6.0
2,135,75,9.0
3,10,75,10.4
4,110,75,9.3
5,130,60,7.3
6,120,60,7.3
7,15,70,9.9
8,125,75,9.1
9,95,60,7.2
10,170,70,8.2
11,120,65,8.2
12,55,70,9.6
13,85,75,9.9
14,215,65,7.5
15,5,75,9.1
16,120,75,9.1
17,85,60,7.1
18,115,75,9.2
19,35,60,6.7
20,20,75,11.4
21,80,65,8.2
22,25,60,6.6
23,65,70,9.6
24,5,70,8.7
25,70,75,10.1
26,170,65,7.9
27,35,75,11.3
28,165,70,8.5
29,30,70,9.7
30,25,70,9.8
31,160,65,7.6
32,110,70,9.0
33,95,70,9.4
34,75,65,8.2
35,130,75,8.8
36,225,60,7.1
37,105,65,8.1
38,65,75,10.1
39,120,70,9.1
40,205,65,7.7
41,205,60,7.0
42,30,65,8.3
43,70,60,7.1
44,125,60,7.2
45,100,60,7.2
46,170,60,7.2
47,65,60,7.0
48,160,75,8.5
49,80,60,7.0
50,55,75,10.5
51,80,70,9.4
52,160,60,7.3
53,115,70,9.0
54,35,65,8.4
55,55,65,8.5
56,225,65,7.6
